TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7524537428383583 VAR: 0.00037966624572819156 F1: 0.7507917222399949 SEED: 27421
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.745875207413669 VAR: 0.0005531376989540227 F1: 0.7438403845857126 SEED: 27421
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7405998559844714 VAR: 0.0005917394759924132 F1: 0.7373199410775385 SEED: 31237
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7392731911962681 VAR: 0.0008252761792641812 F1: 0.7380758933884305 SEED: 31237
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.7498395479164708 VAR: 0.0002293057841087498 F1: 0.7482870853220992 SEED: 31237
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7399658745812592 VAR: 0.0005453289625218392 F1: 0.7349606474263619 SEED: 26517
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7471940452709682 VAR: 0.000315197167777526 F1: 0.7448721566681585 SEED: 26517
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.7465326696095926 VAR: 0.0008832487281334076 F1: 0.7447492444025522 SEED: 26517
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.752465483234714 VAR: 0.0007245975909954939 F1: 0.7498179950146735 SEED: 27097
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7438715131022823 VAR: 0.0009778593988393073 F1: 0.7418086280137541 SEED: 27097
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.7399463072539996 VAR: 0.0003627010342216025 F1: 0.73830137435221 SEED: 27097
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7340134936288782 VAR: 0.0007158946912350429 F1: 0.7311934020604554 SEED: 22826
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7563946025484487 VAR: 0.0005992862304108038 F1: 0.7548699218957462 SEED: 22826
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.7478632478632478 VAR: 0.00042710833060769095 F1: 0.7463447803401763 SEED: 22826
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7340291474906858 VAR: 0.00038015614872463833 F1: 0.7300315377763309 SEED: 25093
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7412729720422028 VAR: 0.0007112962682486295 F1: 0.739426750970708 SEED: 25093
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.7478280266741806 VAR: 0.0009131116146635152 F1: 0.7459914850798067 SEED: 25093
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7419265207726746 VAR: 0.0006139514340331719 F1: 0.7388148564173603 SEED: 30015
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7458595535518613 VAR: 0.0006886232917009611 F1: 0.7440431147583342 SEED: 30015
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.7498356344510191 VAR: 0.0004649933557318092 F1: 0.7480505971974646 SEED: 30015
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7372968911430449 VAR: 0.0008274669284271119 F1: 0.7345481849021283 SEED: 11704
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7478358536050843 VAR: 0.0004961392894493111 F1: 0.7458968259866496 SEED: 11704
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.7366355154816693 VAR: 0.0009143822258988922 F1: 0.7340978537779551 SEED: 11704
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7425839829685983 VAR: 0.0005971759473708983 F1: 0.7402503606934728 SEED: 5103
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7471862183400645 VAR: 0.00044557722024349153 F1: 0.7454044532926617 SEED: 5103
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.7399423937885478 VAR: 0.00047974386508414395 F1: 0.7385279270386692 SEED: 5103
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7458830343445728 VAR: 0.0008376592631697594 F1: 0.7438144553028244 SEED: 19977
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7458791208791209 VAR: 0.0003722241554675401 F1: 0.7447211856732441 SEED: 19977
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.747213612598228 VAR: 0.0005472909330502532 F1: 0.7456813535640019 SEED: 19977
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7399345668576438 VAR: 0.0005233087815637856 F1: 0.7384237815149322 SEED: 27772
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7366198616198616 VAR: 0.0007066739535317424 F1: 0.7341268959216278 SEED: 27772
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.7484737484737485 VAR: 0.0009367627737916231 F1: 0.7469881313936718 SEED: 27772
